booking_id,start_day,length_of_stay,price_per_night,show_probability,segment,notes
123,53,2,180,0.84,BUS,BUS synthetic booking
124,48,2,130,0.83,RET,RET synthetic booking
125,57,1,130,0.873,RET,RET synthetic booking
126,34,3,110,0.86,RET,RET synthetic booking
127,26,1,140,0.86,RET,RET synthetic booking
128,60,1,220,0.776,BUS,BUS synthetic booking
129,46,3,200,0.928,VIP,VIP synthetic booking
130,48,2,100,0.826,GRP,GRP synthetic booking
131,57,1,220,0.799,BUS,BUS synthetic booking
132,53,2,110,0.857,RET,RET synthetic booking
133,10,1,140,0.844,GRP,GRP synthetic booking
134,21,2,170,0.853,RET,RET synthetic booking
135,38,4,100,0.895,RET,RET synthetic booking
136,11,2,110,0.9,RET,RET synthetic booking
137,58,3,110,0.886,RET,RET synthetic booking
138,25,4,120,0.872,RET,RET synthetic booking
139,42,1,120,0.817,RET,RET synthetic booking
140,3,1,130,0.872,RET,RET synthetic booking
141,20,1,160,0.868,BUS,BUS synthetic booking
142,7,1,90,0.879,RET,RET synthetic booking
143,39,5,110,0.819,GRP,GRP synthetic booking
144,17,2,90,0.813,RET,RET synthetic booking
145,57,2,120,0.768,GRP,GRP synthetic booking
146,2,6,150,0.894,RET,RET synthetic booking
147,52,3,90,0.928,RET,RET synthetic booking
148,13,6,190,0.809,BUS,BUS synthetic booking
149,3,1,120,0.892,RET,RET synthetic booking
150,9,2,140,0.868,BUS,BUS synthetic booking
151,2,1,140,0.888,RET,RET synthetic booking
152,36,1,140,0.882,RET,RET synthetic booking
153,17,2,110,0.79,DIS,DIS synthetic booking
154,13,2,140,0.854,BUS,BUS synthetic booking
155,10,2,140,0.796,GRP,GRP synthetic booking
156,5,4,90,0.872,RET,RET synthetic booking
157,4,1,120,0.874,RET,RET synthetic booking
158,41,2,130,0.91,RET,RET synthetic booking
159,46,1,140,0.849,RET,RET synthetic booking
160,58,3,160,0.833,BUS,BUS synthetic booking
161,21,1,130,0.81,BUS,BUS synthetic booking
162,54,7,130,0.892,RET,RET synthetic booking
163,43,1,170,0.829,BUS,BUS synthetic booking
164,22,1,200,0.807,BUS,BUS synthetic booking
165,44,7,90,0.926,RET,RET synthetic booking
166,33,1,90,0.891,RET,RET synthetic booking
167,58,1,160,0.847,RET,RET synthetic booking
168,19,6,140,0.883,RET,RET synthetic booking
169,59,2,120,0.846,RET,RET synthetic booking
170,57,4,140,0.811,GRP,GRP synthetic booking
171,53,1,200,0.798,BUS,BUS synthetic booking
172,47,1,150,0.863,RET,RET synthetic booking
173,6,2,150,0.82,BUS,BUS synthetic booking
174,4,4,110,0.829,RET,RET synthetic booking
175,29,4,120,0.821,BUS,BUS synthetic booking
176,23,2,110,0.801,DIS,DIS synthetic booking
177,14,5,140,0.876,RET,RET synthetic booking
178,27,2,120,0.776,GRP,GRP synthetic booking
179,45,6,90,0.881,RET,RET synthetic booking
180,12,3,90,0.892,RET,RET synthetic booking
181,50,1,150,0.865,RET,RET synthetic booking
182,14,1,310,0.933,VIP,VIP synthetic booking
183,17,3,280,0.952,VIP,VIP synthetic booking
184,1,2,160,0.85,RET,RET synthetic booking
185,25,2,290,0.902,VIP,VIP synthetic booking
186,21,4,130,0.843,BUS,BUS synthetic booking
187,32,3,180,0.796,BUS,BUS synthetic booking
188,52,5,140,0.879,RET,RET synthetic booking
189,35,4,100,0.745,GRP,GRP synthetic booking
190,28,1,100,0.88,RET,RET synthetic booking
191,34,2,150,0.876,RET,RET synthetic booking
192,5,3,190,0.881,BUS,BUS synthetic booking
193,53,4,230,0.956,VIP,VIP synthetic booking
194,9,2,100,0.8,RET,RET synthetic booking
195,29,3,190,0.854,BUS,BUS synthetic booking
196,22,3,100,0.881,RET,RET synthetic booking
197,59,1,160,0.897,RET,RET synthetic booking
198,11,1,160,0.821,BUS,BUS synthetic booking
199,50,2,130,0.86,RET,RET synthetic booking
200,12,5,120,0.872,RET,RET synthetic booking
201,44,2,190,0.932,VIP,VIP synthetic booking
202,36,1,90,0.807,DIS,DIS synthetic booking
203,44,5,230,0.938,VIP,VIP synthetic booking
204,56,2,130,0.886,RET,RET synthetic booking
205,32,2,190,0.804,BUS,BUS synthetic booking
206,6,1,120,0.872,RET,RET synthetic booking
207,5,2,110,0.76,DIS,DIS synthetic booking
208,50,1,170,0.783,BUS,BUS synthetic booking
209,24,7,90,0.762,DIS,DIS synthetic booking
210,28,4,170,0.851,BUS,BUS synthetic booking
211,26,4,90,0.885,RET,RET synthetic booking
212,39,1,310,0.956,VIP,VIP synthetic booking
213,17,2,100,0.854,RET,RET synthetic booking
214,50,3,150,0.803,RET,RET synthetic booking
215,52,4,130,0.865,RET,RET synthetic booking
216,19,4,100,0.794,GRP,GRP synthetic booking
217,12,5,140,0.837,RET,RET synthetic booking
218,10,1,90,0.804,DIS,DIS synthetic booking
219,58,1,100,0.833,DIS,DIS synthetic booking
220,57,1,120,0.907,RET,RET synthetic booking
221,46,4,90,0.831,RET,RET synthetic booking
222,13,1,130,0.926,RET,RET synthetic booking
223,37,2,170,0.808,RET,RET synthetic booking
224,23,1,100,0.883,RET,RET synthetic booking
225,3,1,100,0.888,RET,RET synthetic booking
226,27,1,190,0.826,BUS,BUS synthetic booking
227,29,4,90,0.782,DIS,DIS synthetic booking
228,31,1,280,0.943,VIP,VIP synthetic booking
229,13,3,230,0.905,VIP,VIP synthetic booking
230,35,1,260,0.897,VIP,VIP synthetic booking
231,17,4,200,0.83,BUS,BUS synthetic booking
232,34,1,120,0.817,RET,RET synthetic booking
233,47,3,160,0.853,RET,RET synthetic booking
234,13,5,190,0.809,BUS,BUS synthetic booking
235,24,1,220,0.939,VIP,VIP synthetic booking
236,52,1,110,0.88,RET,RET synthetic booking
237,23,1,200,0.828,BUS,BUS synthetic booking
238,17,1,130,0.886,RET,RET synthetic booking
239,48,3,160,0.871,RET,RET synthetic booking
240,53,5,290,0.948,VIP,VIP synthetic booking
241,36,1,100,0.831,GRP,GRP synthetic booking
242,13,7,170,0.874,BUS,BUS synthetic booking
243,33,2,120,0.827,BUS,BUS synthetic booking
244,7,3,110,0.888,RET,RET synthetic booking
245,6,2,140,0.788,BUS,BUS synthetic booking
246,36,4,110,0.9,RET,RET synthetic booking
247,38,1,120,0.778,DIS,DIS synthetic booking
248,3,2,180,0.889,BUS,BUS synthetic booking
249,14,6,140,0.892,RET,RET synthetic booking
250,9,1,90,0.905,RET,RET synthetic booking
251,50,1,170,0.822,RET,RET synthetic booking
252,15,1,120,0.805,GRP,GRP synthetic booking
253,10,2,190,0.835,BUS,BUS synthetic booking
254,43,2,120,0.856,BUS,BUS synthetic booking
255,46,1,90,0.822,RET,RET synthetic booking
256,60,1,90,0.757,DIS,DIS synthetic booking
257,5,3,110,0.823,GRP,GRP synthetic booking
258,55,6,150,0.876,RET,RET synthetic booking
259,22,1,120,0.819,BUS,BUS synthetic booking
260,27,2,220,0.883,VIP,VIP synthetic booking
261,45,2,140,0.769,GRP,GRP synthetic booking
262,44,1,100,0.804,GRP,GRP synthetic booking
263,25,1,170,0.859,RET,RET synthetic booking
264,54,4,200,0.829,BUS,BUS synthetic booking
265,3,1,160,0.848,RET,RET synthetic booking
266,20,3,140,0.852,RET,RET synthetic booking
267,24,5,120,0.851,RET,RET synthetic booking
268,30,3,80,0.836,DIS,DIS synthetic booking
269,50,2,160,0.836,RET,RET synthetic booking
270,13,2,130,0.864,BUS,BUS synthetic booking
271,23,1,190,0.836,BUS,BUS synthetic booking
272,47,4,180,0.816,BUS,BUS synthetic booking
273,28,1,70,0.754,DIS,DIS synthetic booking
274,9,5,140,0.843,BUS,BUS synthetic booking
275,32,4,210,0.818,BUS,BUS synthetic booking
276,33,2,110,0.826,DIS,DIS synthetic booking
277,19,5,240,0.925,VIP,VIP synthetic booking
278,58,3,170,0.863,RET,RET synthetic booking
279,17,2,210,0.918,VIP,VIP synthetic booking
280,36,1,130,0.821,RET,RET synthetic booking
281,1,1,90,0.809,DIS,DIS synthetic booking
282,16,3,180,0.803,BUS,BUS synthetic booking
283,49,1,100,0.803,GRP,GRP synthetic booking
284,9,1,80,0.774,DIS,DIS synthetic booking
285,56,1,180,0.838,BUS,BUS synthetic booking
286,22,2,210,0.824,BUS,BUS synthetic booking
287,28,1,120,0.87,RET,RET synthetic booking
288,34,4,160,0.908,RET,RET synthetic booking
289,44,4,140,0.799,BUS,BUS synthetic booking
290,1,3,90,0.91,RET,RET synthetic booking
291,9,3,100,0.806,RET,RET synthetic booking
292,29,1,120,0.809,DIS,DIS synthetic booking
293,54,4,90,0.849,RET,RET synthetic booking
294,26,2,170,0.861,RET,RET synthetic booking
295,13,4,120,0.884,RET,RET synthetic booking
296,1,5,100,0.889,RET,RET synthetic booking
297,30,7,150,0.861,RET,RET synthetic booking
298,39,2,130,0.856,RET,RET synthetic booking
299,27,5,130,0.831,BUS,BUS synthetic booking
300,58,1,210,0.805,BUS,BUS synthetic booking
301,38,1,100,0.787,DIS,DIS synthetic booking
302,7,1,150,0.797,BUS,BUS synthetic booking
303,26,1,130,0.853,RET,RET synthetic booking
304,48,4,90,0.82,RET,RET synthetic booking
305,20,5,90,0.851,RET,RET synthetic booking
306,34,1,110,0.733,DIS,DIS synthetic booking
307,16,4,230,0.93,VIP,VIP synthetic booking
308,8,1,120,0.836,BUS,BUS synthetic booking
309,13,7,130,0.818,GRP,GRP synthetic booking
310,59,2,170,0.868,RET,RET synthetic booking
311,48,2,90,0.801,DIS,DIS synthetic booking
312,32,1,110,0.828,RET,RET synthetic booking
313,54,1,160,0.822,BUS,BUS synthetic booking
314,10,1,180,0.819,BUS,BUS synthetic booking
315,10,5,140,0.858,RET,RET synthetic booking
316,46,4,170,0.866,RET,RET synthetic booking
317,57,3,100,0.854,RET,RET synthetic booking
318,44,7,190,0.964,VIP,VIP synthetic booking
319,14,3,110,0.851,GRP,GRP synthetic booking
320,33,4,110,0.812,GRP,GRP synthetic booking
321,21,6,90,0.796,DIS,DIS synthetic booking
322,5,1,70,0.83,DIS,DIS synthetic booking
323,38,2,90,0.843,RET,RET synthetic booking
324,58,1,130,0.888,RET,RET synthetic booking
325,40,5,80,0.858,GRP,GRP synthetic booking
326,48,1,170,0.805,BUS,BUS synthetic booking
327,4,1,290,0.969,VIP,VIP synthetic booking
328,21,2,120,0.766,DIS,DIS synthetic booking
329,10,1,140,0.824,BUS,BUS synthetic booking
330,15,1,100,0.773,DIS,DIS synthetic booking
331,28,2,70,0.791,DIS,DIS synthetic booking
332,7,2,150,0.878,RET,RET synthetic booking
333,17,3,80,0.798,GRP,GRP synthetic booking
334,50,2,90,0.865,RET,RET synthetic booking
335,29,1,170,0.887,RET,RET synthetic booking
336,39,3,90,0.847,GRP,GRP synthetic booking
337,27,5,230,0.916,VIP,VIP synthetic booking
338,55,2,140,0.895,RET,RET synthetic booking
339,53,1,220,0.889,BUS,BUS synthetic booking
340,15,6,210,0.837,BUS,BUS synthetic booking
341,48,1,180,0.833,BUS,BUS synthetic booking
342,49,1,120,0.855,RET,RET synthetic booking
343,16,3,90,0.815,RET,RET synthetic booking
344,4,1,140,0.832,BUS,BUS synthetic booking
345,47,2,90,0.879,RET,RET synthetic booking
346,4,2,110,0.846,RET,RET synthetic booking
347,17,1,130,0.839,GRP,GRP synthetic booking
348,12,1,150,0.794,GRP,GRP synthetic booking
349,50,1,140,0.822,BUS,BUS synthetic booking
350,9,1,150,0.92,RET,RET synthetic booking
351,16,3,100,0.859,RET,RET synthetic booking
352,23,1,140,0.809,GRP,GRP synthetic booking
353,28,3,200,0.771,BUS,BUS synthetic booking
354,8,1,170,0.876,RET,RET synthetic booking
355,37,1,160,0.874,RET,RET synthetic booking
356,41,2,130,0.823,RET,RET synthetic booking
357,38,3,130,0.792,BUS,BUS synthetic booking
358,13,7,130,0.842,BUS,BUS synthetic booking
359,9,1,100,0.898,RET,RET synthetic booking
360,43,1,110,0.857,RET,RET synthetic booking
361,35,1,170,0.881,RET,RET synthetic booking
362,23,1,220,0.839,BUS,BUS synthetic booking
363,3,3,170,0.845,BUS,BUS synthetic booking
364,12,2,180,0.886,BUS,BUS synthetic booking
365,13,5,90,0.808,GRP,GRP synthetic booking
366,17,3,290,0.896,VIP,VIP synthetic booking
367,19,2,130,0.835,RET,RET synthetic booking
368,59,1,100,0.839,DIS,DIS synthetic booking
369,37,1,130,0.824,RET,RET synthetic booking
370,38,6,180,0.852,BUS,BUS synthetic booking
371,55,3,150,0.873,RET,RET synthetic booking
372,25,2,160,0.904,RET,RET synthetic booking
373,16,1,140,0.844,BUS,BUS synthetic booking
374,33,4,130,0.796,RET,RET synthetic booking
375,18,3,100,0.843,RET,RET synthetic booking
376,22,3,280,0.918,VIP,VIP synthetic booking
377,40,1,100,0.827,RET,RET synthetic booking
378,24,1,90,0.812,GRP,GRP synthetic booking
379,16,5,90,0.947,RET,RET synthetic booking
380,59,2,170,0.798,BUS,BUS synthetic booking
381,47,3,200,0.818,BUS,BUS synthetic booking
382,4,1,210,0.785,BUS,BUS synthetic booking
383,17,5,150,0.861,BUS,BUS synthetic booking
384,22,6,150,0.806,BUS,BUS synthetic booking
385,11,5,90,0.843,RET,RET synthetic booking
386,51,1,130,0.946,RET,RET synthetic booking
387,41,2,110,0.788,DIS,DIS synthetic booking
388,50,2,90,0.906,RET,RET synthetic booking
389,1,2,120,0.816,GRP,GRP synthetic booking
390,43,2,140,0.877,RET,RET synthetic booking
391,52,5,90,0.814,DIS,DIS synthetic booking
392,16,4,110,0.811,GRP,GRP synthetic booking
393,41,2,120,0.816,RET,RET synthetic booking
394,37,1,180,0.792,BUS,BUS synthetic booking
395,14,5,150,0.937,RET,RET synthetic booking
396,22,2,100,0.861,DIS,DIS synthetic booking
397,22,1,150,0.903,RET,RET synthetic booking
398,18,2,90,0.786,GRP,GRP synthetic booking
399,38,3,120,0.862,RET,RET synthetic booking
400,33,1,120,0.843,RET,RET synthetic booking
401,13,5,150,0.869,BUS,BUS synthetic booking
402,51,1,120,0.881,RET,RET synthetic booking
403,30,2,90,0.823,DIS,DIS synthetic booking
404,40,1,70,0.789,DIS,DIS synthetic booking
405,26,1,120,0.851,DIS,DIS synthetic booking
406,1,5,90,0.804,RET,RET synthetic booking
407,55,1,110,0.865,RET,RET synthetic booking
408,31,1,90,0.864,RET,RET synthetic booking
409,58,3,240,0.924,VIP,VIP synthetic booking
410,15,1,170,0.832,BUS,BUS synthetic booking
411,3,4,120,0.837,RET,RET synthetic booking
412,8,2,170,0.873,RET,RET synthetic booking
413,41,4,120,0.877,RET,RET synthetic booking
414,10,3,110,0.902,RET,RET synthetic booking
415,22,1,130,0.827,RET,RET synthetic booking
416,34,2,150,0.807,GRP,GRP synthetic booking
417,3,6,110,0.822,DIS,DIS synthetic booking
418,3,2,310,0.875,VIP,VIP synthetic booking
419,20,2,200,0.794,BUS,BUS synthetic booking
420,40,4,260,0.914,VIP,VIP synthetic booking
421,23,1,130,0.894,RET,RET synthetic booking
422,43,4,300,0.906,VIP,VIP synthetic booking
423,56,4,90,0.736,GRP,GRP synthetic booking
424,35,3,130,0.871,RET,RET synthetic booking
425,8,2,200,0.805,BUS,BUS synthetic booking
426,42,1,170,0.796,BUS,BUS synthetic booking
427,31,1,180,0.779,BUS,BUS synthetic booking
428,51,3,120,0.86,RET,RET synthetic booking
429,45,5,100,0.764,DIS,DIS synthetic booking
430,36,3,160,0.824,BUS,BUS synthetic booking
431,37,1,210,0.971,VIP,VIP synthetic booking
432,25,2,110,0.8,GRP,GRP synthetic booking
433,43,1,140,0.812,RET,RET synthetic booking
434,41,4,260,0.99,VIP,VIP synthetic booking
435,48,2,120,0.763,BUS,BUS synthetic booking
436,58,2,140,0.868,RET,RET synthetic booking
437,50,3,130,0.847,RET,RET synthetic booking
438,23,3,90,0.712,DIS,DIS synthetic booking
439,2,2,110,0.904,RET,RET synthetic booking
440,40,1,110,0.865,RET,RET synthetic booking
441,12,6,130,0.817,RET,RET synthetic booking
442,56,1,90,0.755,DIS,DIS synthetic booking
443,53,2,150,0.916,RET,RET synthetic booking
444,56,1,150,0.781,GRP,GRP synthetic booking
445,3,1,150,0.896,RET,RET synthetic booking
446,46,3,150,0.906,RET,RET synthetic booking
447,38,1,100,0.883,RET,RET synthetic booking
448,53,2,260,0.905,VIP,VIP synthetic booking
449,34,1,130,0.788,BUS,BUS synthetic booking
450,24,2,110,0.854,RET,RET synthetic booking
451,26,5,270,0.922,VIP,VIP synthetic booking
452,32,1,190,0.821,BUS,BUS synthetic booking
453,59,1,120,0.81,RET,RET synthetic booking
454,26,1,140,0.896,RET,RET synthetic booking
455,3,1,120,0.854,RET,RET synthetic booking
456,25,4,90,0.838,RET,RET synthetic booking
457,7,7,160,0.792,BUS,BUS synthetic booking
458,58,1,100,0.797,GRP,GRP synthetic booking
459,53,1,130,0.871,BUS,BUS synthetic booking
460,33,2,130,0.746,GRP,GRP synthetic booking
461,49,3,90,0.862,RET,RET synthetic booking
462,57,3,160,0.915,RET,RET synthetic booking
463,45,2,160,0.804,BUS,BUS synthetic booking
464,26,1,170,0.877,RET,RET synthetic booking
465,8,4,80,0.808,DIS,DIS synthetic booking
466,43,4,130,0.832,RET,RET synthetic booking
467,11,1,140,0.815,GRP,GRP synthetic booking
468,4,4,170,0.867,RET,RET synthetic booking
469,24,3,100,0.839,GRP,GRP synthetic booking
470,10,1,250,0.931,VIP,VIP synthetic booking
471,40,1,300,0.983,VIP,VIP synthetic booking
472,33,1,80,0.839,DIS,DIS synthetic booking
473,35,1,100,0.798,DIS,DIS synthetic booking
474,11,2,80,0.849,DIS,DIS synthetic booking
475,31,1,150,0.853,BUS,BUS synthetic booking
476,38,1,240,0.912,VIP,VIP synthetic booking
477,41,5,200,0.878,VIP,VIP synthetic booking
478,16,1,110,0.88,RET,RET synthetic booking
479,12,2,170,0.844,RET,RET synthetic booking
480,24,6,210,0.86,BUS,BUS synthetic booking
481,14,1,130,0.849,BUS,BUS synthetic booking
482,38,6,100,0.811,GRP,GRP synthetic booking
483,25,2,100,0.861,RET,RET synthetic booking
484,13,1,200,0.984,VIP,VIP synthetic booking
485,6,4,160,0.793,BUS,BUS synthetic booking
486,10,7,120,0.752,DIS,DIS synthetic booking
487,1,2,110,0.843,DIS,DIS synthetic booking
488,55,4,90,0.821,RET,RET synthetic booking
489,60,1,150,0.844,RET,RET synthetic booking
490,57,1,90,0.844,RET,RET synthetic booking
491,27,3,70,0.798,DIS,DIS synthetic booking
492,37,2,110,0.837,GRP,GRP synthetic booking
493,12,1,200,0.81,BUS,BUS synthetic booking
494,8,1,170,0.911,RET,RET synthetic booking
495,54,3,120,0.911,RET,RET synthetic booking
496,39,5,200,0.816,BUS,BUS synthetic booking
497,5,5,70,0.792,DIS,DIS synthetic booking
498,53,3,150,0.854,RET,RET synthetic booking
499,44,1,130,0.82,BUS,BUS synthetic booking
500,33,1,140,0.894,RET,RET synthetic booking
